id,bank,chapter,source_ref,type,difficulty,topic,question,options,correct_option,correct_answer,explanation,source_quote,fact_id,variant_group,validation_status,correction
DAN7-0001,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:1",fill_blank,easy,"año, visión, vientos, mar y cuatro bestias","Según PDF p.16, Daniel 7:1, en el pasaje sobre año, visión, vientos, mar y cuatro bestias, complete la formulación del PDF: «En el primer año de Belsasar, rey de _____, tuvo Daniel un sueño y visiones de su cabeza mientras estaba en su lecho»","[""Babilonia"", ""Jerusalem"", ""Jerusalén"", ""Atenas""]",0,Babilonia,"El PDF emplea la expresión «Babilonia» en este contexto: «año de Belsasar, rey de Babilonia, tuvo Daniel un sueño y visiones de».","año de Belsasar, rey de Babilonia, tuvo Daniel un sueño y visiones de",DAN7-V1-F01,DAN7-V1-F01-VARIANTS,verified,
DAN7-0002,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:2",fill_blank,expert,"año, visión, vientos, mar y cuatro bestias","Según PDF p.16, Daniel 7:2, en el pasaje sobre año, visión, vientos, mar y cuatro bestias, complete la formulación del PDF: «Daniel dijo: «Miraba yo en mi visión de noche, y vi que los _____ combatían en el gran mar.»","[""mil doscientos noventa días"", ""cuatro vientos del cielo"", ""cuatro alas de ave"", ""millones de millones""]",1,cuatro vientos del cielo,"El PDF emplea la expresión «cuatro vientos del cielo» en este contexto: «noche, y vi que los cuatro vientos del cielo combatían en el gran mar».","noche, y vi que los cuatro vientos del cielo combatían en el gran mar",DAN7-V2-F01,DAN7-V2-F01-VARIANTS,verified,
DAN7-0003,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:3",multiple_choice,easy,"año, visión, vientos, mar y cuatro bestias","Según PDF p.16, Daniel 7:3, en el pasaje sobre año, visión, vientos, mar y cuatro bestias, ¿Qué expresión completa correctamente el detalle señalado? Marco: «Y [DETALLE] bestias grandes, diferentes la una de la»","[""Y cuatro bestias grandes, diferentes la una de la"", ""Y sesenta bestias grandes, diferentes la una de la"", ""Y siete bestias grandes, diferentes la una de la"", ""Y dos cuernos bestias grandes, diferentes la una de la""]",0,"Y cuatro bestias grandes, diferentes la una de la","La opción correcta conserva el detalle «cuatro» tal como aparece en la fuente: «Y cuatro bestias grandes, diferentes la una de la».","Y cuatro bestias grandes, diferentes la una de la",DAN7-V3-F01,DAN7-V3-F01-VARIANTS,verified,
DAN7-0004,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:4",fill_blank,expert,primera bestia,"Según PDF p.16, Daniel 7:4, en el pasaje sobre primera bestia, complete la formulación del PDF: «La primera era como un león, y tenía _____.»","[""miles de miles"", ""naves de Quitim"", ""alas de águila"", ""santos del Altísimo""]",2,alas de águila,"El PDF emplea la expresión «alas de águila» en este contexto: «como un león, y tenía alas de águila».","como un león, y tenía alas de águila",DAN7-V4-F01,DAN7-V4-F01-VARIANTS,verified,
DAN7-0005,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:5",multiple_choice,hard,segunda bestia,"Según PDF p.16, Daniel 7:5, en el pasaje sobre segunda bestia, ¿Qué opción restituye con precisión la relación descrita? Marco: «boca, entre los dientes, tenía [DETALLE]»","[""boca, entre los dientes, tenía cuatro cabezas"", ""boca, entre los dientes, tenía tres costillas"", ""boca, entre los dientes, tenía cuatro reinos"", ""boca, entre los dientes, tenía setenta semanas""]",1,"boca, entre los dientes, tenía tres costillas","La opción correcta conserva el detalle «tres costillas» tal como aparece en la fuente: «boca, entre los dientes, tenía tres costillas».","boca, entre los dientes, tenía tres costillas",DAN7-V5-F07,DAN7-V5-F07-VARIANTS,verified,
DAN7-0006,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:6",fill_blank,expert,tercera bestia,"Según PDF p.16, Daniel 7:6, en el pasaje sobre tercera bestia, complete la formulación del PDF: «Después de esto miré, y vi otra, semejante a un leopardo, con _____ en sus espaldas.»","[""cuatro vientos del cielo"", ""mil doscientos noventa días"", ""millones de millones"", ""cuatro alas de ave""]",3,cuatro alas de ave,"El PDF emplea la expresión «cuatro alas de ave» en este contexto: «semejante a un leopardo, con cuatro alas de ave en sus espaldas».","semejante a un leopardo, con cuatro alas de ave en sus espaldas",DAN7-V6-F01,DAN7-V6-F01-VARIANTS,verified,
DAN7-0007,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:7",multiple_choice,medium,cuarta bestia y cuerno pequeño,"Según PDF p.16, Daniel 7:7, en el pasaje sobre cuarta bestia y cuerno pequeño, ¿Cuál opción conserva el dato exacto de la fuente? Marco: «y tenía [DETALLE]»","[""y tenía setenta años"", ""y tenía tres semanas"", ""y tenía diez cuernos"", ""y tenía cuatro reinos""]",2,y tenía diez cuernos,La opción correcta conserva el detalle «diez cuernos» tal como aparece en la fuente: «y tenía diez cuernos».,y tenía diez cuernos,DAN7-V7-F23,DAN7-V7-F23-VARIANTS,verified,
DAN7-0008,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:8",fill_blank,expert,cuarta bestia y cuerno pequeño,"Según PDF p.16, Daniel 7:8, en el pasaje sobre cuarta bestia y cuerno pequeño, complete la formulación del PDF: «Mientras yo contemplaba los cuernos, otro _____ salió entre ellos, y delante de él fueron arrancados tres cuernos de los primeros.»","[""cuerno pequeño"", ""cuerno notable"", ""dominio eterno"", ""cuerno grande""]",0,cuerno pequeño,"El PDF emplea la expresión «cuerno pequeño» en este contexto: «yo contemplaba los cuernos, otro cuerno pequeño salió entre ellos, y delante de él».","yo contemplaba los cuernos, otro cuerno pequeño salió entre ellos, y delante de él",DAN7-V8-F01,DAN7-V8-F01-VARIANTS,verified,
DAN7-0009,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:9",multiple_choice,expert,"Anciano de días, juicio y bestias","Según PDF p.16, Daniel 7:9, en el pasaje sobre Anciano de días, juicio y bestias, ¿Cuál opción mantiene sin alterar el detalle y el orden de la fuente? Marco: «tronos y se sentó un [DETALLE]»","[""tronos y se sentó un hijo de hombre"", ""tronos y se sentó un tiempo del fin"", ""tronos y se sentó un corazón de hombre"", ""tronos y se sentó un Anciano de días""]",3,tronos y se sentó un Anciano de días,La opción correcta conserva el detalle «Anciano de días» tal como aparece en la fuente: «tronos y se sentó un Anciano de días».,tronos y se sentó un Anciano de días,DAN7-V9-F01,DAN7-V9-F01-VARIANTS,verified,
DAN7-0010,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:10",fill_blank,expert,"Anciano de días, juicio y bestias","Según PDF p.16, Daniel 7:10, en el pasaje sobre Anciano de días, juicio y bestias, complete la formulación del PDF: «Un _____ procedía y salía de delante de él»","[""oro de Ufaz"", ""río de fuego"", ""rey del norte"", ""rey del sur""]",1,río de fuego,El PDF emplea la expresión «río de fuego» en este contexto: «Un río de fuego procedía y salía de delante de él».,Un río de fuego procedía y salía de delante de él,DAN7-V10-F01,DAN7-V10-F01-VARIANTS,verified,
