id,bank,chapter,source_ref,type,difficulty,topic,question,options,correct_option,correct_answer,explanation,source_quote,fact_id,variant_group,validation_status,correction
PR39-0001,PR39-44,PR39,"PDF p.27, PR39, párrafo 3",multiple_choice,hard,"cautiverio, misión y cambio de nombres","Según PDF p.27, PR39, párrafo 3, en el pasaje sobre cautiverio, misión y cambio de nombres, ¿Qué opción restituye con precisión la relación descrita? Marco: «los caldeos, y que durante [DETALLE] se les concediesen las ventajas educativas que»","[""los caldeos, y que durante tres años se les concediesen las ventajas educativas que"", ""los caldeos, y que durante diez días se les concediesen las ventajas educativas que"", ""los caldeos, y que durante seis codos se les concediesen las ventajas educativas que"", ""los caldeos, y que durante siete veces se les concediesen las ventajas educativas que""]",0,"los caldeos, y que durante tres años se les concediesen las ventajas educativas que","La opción correcta conserva el detalle «tres años» tal como aparece en la fuente: «los caldeos, y que durante tres años se les concediesen las ventajas educativas que».","los caldeos, y que durante tres años se les concediesen las ventajas educativas que",PR39-P027-F82,PR39-P027-F82-VARIANTS,verified,
PR39-0002,PR39-44,PR39,"PDF p.28, PR39, párrafo 2",fill_blank,hard,"alimento real, vino e idolatría","Según PDF p.28, PR39, párrafo 2, en el pasaje sobre alimento real, vino e idolatría, complete la formulación del PDF: «Los padres de Daniel y sus compañeros les habían inculcado hábitos de _____.»","[""estricta templanza"", ""responsabilidad"", ""interpretación"", ""consideración""]",0,estricta templanza,El PDF emplea la expresión «estricta templanza» en este contexto: «les habían inculcado hábitos de estricta templanza».,les habían inculcado hábitos de estricta templanza,PR39-P028-F32,PR39-P028-F32-VARIANTS,verified,
PR39-0003,PR39-44,PR39,"PDF p.29, PR39, párrafo 1",multiple_choice,hard,"Melsar, prueba de diez días y templanza","Según PDF p.29, PR39, párrafo 1, en el pasaje sobre Melsar, prueba de diez días y templanza, ¿Qué opción restituye con precisión la relación descrita? Marco: «se hiciese una prueba de [DETALLE], durante los cuales se proveería alimento sencillo»","[""se hiciese una prueba de tres años, durante los cuales se proveería alimento sencillo"", ""se hiciese una prueba de diez días, durante los cuales se proveería alimento sencillo"", ""se hiciese una prueba de seis codos, durante los cuales se proveería alimento sencillo"", ""se hiciese una prueba de siete veces, durante los cuales se proveería alimento sencillo""]",1,"se hiciese una prueba de diez días, durante los cuales se proveería alimento sencillo","La opción correcta conserva el detalle «diez días» tal como aparece en la fuente: «se hiciese una prueba de diez días, durante los cuales se proveería alimento sencillo».","se hiciese una prueba de diez días, durante los cuales se proveería alimento sencillo",PR39-P029-F13,PR39-P029-F13-VARIANTS,verified,
PR39-0004,PR39-44,PR39,"PDF p.30, PR39, párrafo 2",fill_blank,hard,"educación, salud y verdadero éxito","Según PDF p.30, PR39, párrafo 2, en el pasaje sobre educación, salud y verdadero éxito, complete la formulación del PDF: «En cualquier ramo de trabajo, el _____ no es resultado de la casualidad ni del destino.»","[""Vigía invisible"", ""verdadero éxito"", ""Dios viviente"", ""reino eterno""]",1,verdadero éxito,"El PDF emplea la expresión «verdadero éxito» en este contexto: «cualquier ramo de trabajo, el verdadero éxito no es resultado de la casualidad ni».","cualquier ramo de trabajo, el verdadero éxito no es resultado de la casualidad ni",PR39-P030-F77,PR39-P030-F77-VARIANTS,verified,
PR39-0005,PR39-44,PR39,"PDF p.31, PR39, párrafo 1",multiple_choice,medium,"cooperación divina, deberes pequeños y carácter","Según PDF p.31, PR39, párrafo 1, en el pasaje sobre cooperación divina, deberes pequeños y carácter, ¿Cuál opción conserva el dato exacto de la fuente? Marco: «En la vida del [DETALLE] cristiano, no hay cosas que no sean»","[""En la vida del consejero cristiano, no hay cosas que no sean"", ""En la vida del escenario cristiano, no hay cosas que no sean"", ""En la vida del verdadero cristiano, no hay cosas que no sean"", ""En la vida del esplendor cristiano, no hay cosas que no sean""]",2,"En la vida del verdadero cristiano, no hay cosas que no sean","La opción correcta conserva el detalle «verdadero» tal como aparece en la fuente: «En la vida del verdadero cristiano, no hay cosas que no sean».","En la vida del verdadero cristiano, no hay cosas que no sean",PR39-P031-F01,PR39-P031-F01-VARIANTS,verified,
PR39-0006,PR39-44,PR39,"PDF p.32, PR39, párrafo 1",fill_blank,hard,aplicación a los jóvenes actuales,"Según PDF p.32, PR39, párrafo 1, en el pasaje sobre aplicación a los jóvenes actuales, complete la formulación del PDF: «pueden sacar fuerza de la misma fuente, poseer el mismo poder de dominio propio y revelar la misma gracia en su vida, aun en _____ tan desfavorables como las que predominaban entonces.»","[""misericordias"", ""predominaban"", ""circunstancias"", ""representaba""]",2,circunstancias,"El PDF emplea la expresión «circunstancias» en este contexto: «en su vida, aun en circunstancias tan desfavorables como las que predominaban entonces».","en su vida, aun en circunstancias tan desfavorables como las que predominaban entonces",PR39-P032-F06,PR39-P032-F06-VARIANTS,verified,
PR39-0007,PR39-44,PR39,"PDF p.27, PR39, párrafo 1",multiple_choice,expert,"cautiverio, misión y cambio de nombres","Según PDF p.27, PR39, párrafo 1, en el pasaje sobre cautiverio, misión y cambio de nombres, ¿Cuál opción mantiene sin alterar el detalle y el orden de la fuente? Marco: «El hecho de que esos [DETALLE] de Jehová estuviesen cautivos en Babilonia y»","[""El hecho de que esos astrólogos de Jehová estuviesen cautivos en Babilonia y"", ""El hecho de que esos cristianas de Jehová estuviesen cautivos en Babilonia y"", ""El hecho de que esos debiéramos de Jehová estuviesen cautivos en Babilonia y"", ""El hecho de que esos adoradores de Jehová estuviesen cautivos en Babilonia y""]",3,El hecho de que esos adoradores de Jehová estuviesen cautivos en Babilonia y,La opción correcta conserva el detalle «adoradores» tal como aparece en la fuente: «El hecho de que esos adoradores de Jehová estuviesen cautivos en Babilonia y».,El hecho de que esos adoradores de Jehová estuviesen cautivos en Babilonia y,PR39-P027-F01,PR39-P027-F01-VARIANTS,verified,
PR39-0008,PR39-44,PR39,"PDF p.28, PR39, párrafo 1",fill_blank,hard,"alimento real, vino e idolatría","Según PDF p.28, PR39, párrafo 1, en el pasaje sobre alimento real, vino e idolatría, complete la formulación del PDF: «Tampoco podían correr el riesgo que _____ el efecto enervador del lujo y la disipación sobre el desarrollo físico, mental y espiritual.»","[""predominaban"", ""Medo-Persia"", ""misericordias"", ""representaba""]",3,representaba,El PDF emplea la expresión «representaba» en este contexto: «podían correr el riesgo que representaba el efecto enervador del lujo y la».,podían correr el riesgo que representaba el efecto enervador del lujo y la,PR39-P028-F01,PR39-P028-F01-VARIANTS,verified,
PR39-0009,PR39-44,PR39,"PDF p.29, PR39, párrafo 2",multiple_choice,hard,"Melsar, prueba de diez días y templanza","Según PDF p.29, PR39, párrafo 2, en el pasaje sobre Melsar, prueba de diez días y templanza, ¿Qué opción restituye con precisión la relación descrita? Marco: «fin de la prueba de [DETALLE], el resultado era lo opuesto de lo»","[""fin de la prueba de diez días, el resultado era lo opuesto de lo"", ""fin de la prueba de tres años, el resultado era lo opuesto de lo"", ""fin de la prueba de seis codos, el resultado era lo opuesto de lo"", ""fin de la prueba de siete veces, el resultado era lo opuesto de lo""]",0,"fin de la prueba de diez días, el resultado era lo opuesto de lo","La opción correcta conserva el detalle «diez días» tal como aparece en la fuente: «fin de la prueba de diez días, el resultado era lo opuesto de lo».","fin de la prueba de diez días, el resultado era lo opuesto de lo",PR39-P029-F34,PR39-P029-F34-VARIANTS,verified,
PR39-0010,PR39-44,PR39,"PDF p.30, PR39, párrafo 3",fill_blank,expert,"educación, salud y verdadero éxito","Según PDF p.30, PR39, párrafo 3, en el pasaje sobre educación, salud y verdadero éxito, complete la formulación del PDF: «En esto se revela cómo obra el principio divino de cooperación, sin la cual no puede alcanzarse _____.»","[""verdadero éxito"", ""Vigía invisible"", ""Dios viviente"", ""reino eterno""]",0,verdadero éxito,El PDF emplea la expresión «verdadero éxito» en este contexto: «la cual no puede alcanzarse verdadero éxito».,la cual no puede alcanzarse verdadero éxito,PR39-P030-F109,PR39-P030-F109-VARIANTS,verified,
PR39-0011,PR39-44,PR39,"PDF p.31, PR39, párrafo 1",multiple_choice,medium,"cooperación divina, deberes pequeños y carácter","Según PDF p.31, PR39, párrafo 1, en el pasaje sobre cooperación divina, deberes pequeños y carácter, ¿Cuál opción conserva el dato exacto de la fuente? Marco: «En la vida del verdadero [DETALLE], no hay cosas que no sean esenciales»","[""En la vida del verdadero abrumador, no hay cosas que no sean esenciales"", ""En la vida del verdadero cristiano, no hay cosas que no sean esenciales"", ""En la vida del verdadero aliviarla, no hay cosas que no sean esenciales"", ""En la vida del verdadero atestiguó, no hay cosas que no sean esenciales""]",1,"En la vida del verdadero cristiano, no hay cosas que no sean esenciales","La opción correcta conserva el detalle «cristiano» tal como aparece en la fuente: «En la vida del verdadero cristiano, no hay cosas que no sean esenciales».","En la vida del verdadero cristiano, no hay cosas que no sean esenciales",PR39-P031-F02,PR39-P031-F02-VARIANTS,verified,
PR39-0012,PR39-44,PR39,"PDF p.32, PR39, párrafo 1",fill_blank,hard,aplicación a los jóvenes actuales,"Según PDF p.32, PR39, párrafo 1, en el pasaje sobre aplicación a los jóvenes actuales, complete la formulación del PDF: «pueden sacar fuerza de la misma fuente, poseer el mismo poder de dominio propio y revelar la misma gracia en su vida, aun en circunstancias tan _____ como las que predominaban entonces.»","[""encantamentos"", ""desfavorables"", ""humillaciones"", ""retribuciones""]",1,desfavorables,"El PDF emplea la expresión «desfavorables» en este contexto: «vida, aun en circunstancias tan desfavorables como las que predominaban entonces».","vida, aun en circunstancias tan desfavorables como las que predominaban entonces",PR39-P032-F07,PR39-P032-F07-VARIANTS,verified,
PR39-0013,PR39-44,PR39,"PDF p.27, PR39, párrafo 1",multiple_choice,expert,"cautiverio, misión y cambio de nombres","Según PDF p.27, PR39, párrafo 1, en el pasaje sobre cautiverio, misión y cambio de nombres, ¿Cuál opción mantiene sin alterar el detalle y el orden de la fuente? Marco: «que esos adoradores de Jehová [DETALLE] cautivos en Babilonia y de que los»","[""que esos adoradores de Jehová habitasen cautivos en Babilonia y de que los"", ""que esos adoradores de Jehová recibiese cautivos en Babilonia y de que los"", ""que esos adoradores de Jehová estuviesen cautivos en Babilonia y de que los"", ""que esos adoradores de Jehová revelasen cautivos en Babilonia y de que los""]",2,que esos adoradores de Jehová estuviesen cautivos en Babilonia y de que los,La opción correcta conserva el detalle «estuviesen» tal como aparece en la fuente: «que esos adoradores de Jehová estuviesen cautivos en Babilonia y de que los».,que esos adoradores de Jehová estuviesen cautivos en Babilonia y de que los,PR39-P027-F02,PR39-P027-F02-VARIANTS,verified,
PR39-0014,PR39-44,PR39,"PDF p.28, PR39, párrafo 1",fill_blank,medium,"alimento real, vino e idolatría","Según PDF p.28, PR39, párrafo 1, en el pasaje sobre alimento real, vino e idolatría, complete la formulación del PDF: «Tampoco podían correr el riesgo que representaba el efecto _____ del lujo y la disipación sobre el desarrollo físico, mental y espiritual.»","[""abrumador"", ""aliviarla"", ""enervador"", ""atestiguó""]",2,enervador,El PDF emplea la expresión «enervador» en este contexto: «riesgo que representaba el efecto enervador del lujo y la disipación sobre el».,riesgo que representaba el efecto enervador del lujo y la disipación sobre el,PR39-P028-F02,PR39-P028-F02-VARIANTS,verified,
PR39-0015,PR39-44,PR39,"PDF p.29, PR39, párrafo 3",multiple_choice,hard,"Melsar, prueba de diez días y templanza","Según PDF p.29, PR39, párrafo 3, en el pasaje sobre Melsar, prueba de diez días y templanza, ¿Qué opción restituye con precisión la relación descrita? Marco: «Los jóvenes hebreos estudiaron [DETALLE] “las letras y la lengua de los»","[""Los jóvenes hebreos estudiaron diez días “las letras y la lengua de los"", ""Los jóvenes hebreos estudiaron seis codos “las letras y la lengua de los"", ""Los jóvenes hebreos estudiaron siete veces “las letras y la lengua de los"", ""Los jóvenes hebreos estudiaron tres años “las letras y la lengua de los""]",3,Los jóvenes hebreos estudiaron tres años “las letras y la lengua de los,La opción correcta conserva el detalle «tres años» tal como aparece en la fuente: «Los jóvenes hebreos estudiaron tres años “las letras y la lengua de los».,Los jóvenes hebreos estudiaron tres años “las letras y la lengua de los,PR39-P029-F67,PR39-P029-F67-VARIANTS,verified,
