id,fact_id,variant_id,template_id,bank,chapter,verse_or_page,source_span,type,difficulty,topic,context_anchor,question,options,correct_option,correct_answer,accepted_answers,answer_mode,explanation,why_distractors_fail,source_quote,trap_type,blind_final_pool,validation_status,incorrect_detail,correction
DAN1-0001,DAN1-V01-S01-F01,DAN1-V01-S01-F01-MC-SEQUENCE-01,mc-sequence-v1,DANIEL1-12,DAN1,"3, Daniel 1:1","En el tercer año del reinado de Joacim, rey de Judá, vino Nabucodonosor, rey de Babilonia, a Jerusalén, y la sitió. | El Señor entregó en sus manos a Joacim, rey de Judá, y parte de los utensilios de la casa de Dios | El Señor entregó en sus manos a Joacim, rey de Judá, y parte de los utensilios de la casa de Dios",multiple_choice,hard,"cautiverio, formación, fidelidad y sabiduría (Daniel 1:1)","3, Daniel 1:1 → 3, Daniel 1:2 → 3, Daniel 1:2","Entre 3, Daniel 1:1 y 3, Daniel 1:2, ¿qué secuencia respeta el orden en que aparecen estos tres detalles en el PDF? Conjunto a ordenar: Joacim, Nabucodonosor, Señor.","[""Nabucodonosor → Joacim → Señor"", ""Nabucodonosor → Señor → Joacim"", ""Joacim → Nabucodonosor → Señor"", ""Señor → Joacim → Nabucodonosor""]",0,Nabucodonosor → Joacim → Señor,"[""Nabucodonosor → Joacim → Señor""]",exact_text,"La fuente presenta primero «Nabucodonosor», después «Joacim» y finalmente «Señor».","{""Nabucodonosor → Señor → Joacim"": ""Altera el orden de aparición de las tres unidades citadas."", ""Joacim → Nabucodonosor → Señor"": ""Altera el orden de aparición de las tres unidades citadas."", ""Señor → Joacim → Nabucodonosor"": ""Altera el orden de aparición de las tres unidades citadas.""}","Joacim, rey de Judá, vino Nabucodonosor, rey de Babilonia, a Jerusalén, y la | entregó en sus manos a Joacim, rey de Judá, y parte de los | El Señor entregó en sus manos a Joacim, rey",order_sequence,False,verified,,
DAN1-0002,DAN1-V02-S01-F01,DAN1-V02-S01-F01-MC-SEQUENCE-02,mc-sequence-v1,DANIEL1-12,DAN1,"3, Daniel 1:2","El Señor entregó en sus manos a Joacim, rey de Judá, y parte de los utensilios de la casa de Dios | los trajo a tierra de Sinar, a la casa de su dios, y colocó los utensilios en la casa del tesoro de su dios. | los trajo a tierra de Sinar, a la casa de su dios, y colocó los utensilios en la casa del tesoro de su dios.",multiple_choice,expert,"cautiverio, formación, fidelidad y sabiduría (Daniel 1:2)","3, Daniel 1:2 → 3, Daniel 1:2 → 3, Daniel 1:2","Entre 3, Daniel 1:2 y 3, Daniel 1:2, ¿qué secuencia respeta el orden en que aparecen estos tres detalles en el PDF? Conjunto a ordenar: Joacim, Sinar, trajo.","[""Joacim → trajo → Sinar"", ""Joacim → Sinar → trajo"", ""Sinar → Joacim → trajo"", ""trajo → Sinar → Joacim""]",1,Joacim → Sinar → trajo,"[""Joacim → Sinar → trajo""]",exact_text,"La fuente presenta primero «Joacim», después «Sinar» y finalmente «trajo».","{""Joacim → trajo → Sinar"": ""Altera el orden de aparición de las tres unidades citadas."", ""Sinar → Joacim → trajo"": ""Altera el orden de aparición de las tres unidades citadas."", ""trajo → Sinar → Joacim"": ""Altera el orden de aparición de las tres unidades citadas.""}","entregó en sus manos a Joacim, rey de Judá, y parte de los | los trajo a tierra de Sinar, a la casa de su dios, y | los trajo a tierra de Sinar, a la casa",order_sequence,False,verified,,
DAN1-0003,DAN1-V02-S02-F01,DAN1-V02-S02-F01-MC-CONTEXTUAL-V1-01,mc-contextual-v1,DANIEL1-12,DAN1,"3, Daniel 1:2","los trajo a tierra de Sinar, a la casa de su dios, y colocó los utensilios en la casa del tesoro de su dios.",multiple_choice,hard,"cautiverio, formación, fidelidad y sabiduría (Daniel 1:2)",los trajo a tierra de Sinar a la casa de su dios y colocó,"Según 3, Daniel 1:2, en la escena sobre cautiverio, formación, fidelidad y sabiduría (Daniel 1:2), ¿qué opción completa correctamente el detalle señalado? Marco: «los trajo a tierra de [DETALLE], a la casa de su dios, y colocó los utensilios en la casa del tesoro de su dios.»","[""Jerusalén"", ""Joacim"", ""Sinar"", ""Señor""]",2,Sinar,"[""Sinar""]",exact_text,"«Sinar» completa el dato de 3, Daniel 1:2. Los demás elementos aparecen en otras unidades de la fuente, pero no responden a este anclaje exacto.","{""Jerusalén"": ""Es un dato de 3, Daniel 1:1; no completa el marco de 3, Daniel 1:2."", ""Joacim"": ""Es un dato de 3, Daniel 1:1; no completa el marco de 3, Daniel 1:2."", ""Señor"": ""Es un dato de 3, Daniel 1:2; no completa el marco de 3, Daniel 1:2.""}","los trajo a tierra de Sinar, a la casa de su dios, y",true_elsewhere,False,verified,,
DAN1-0004,DAN1-V03-S01-F01,DAN1-V03-S01-F01-MC-SEQUENCE-03,mc-sequence-v1,DANIEL1-12,DAN1,"3, Daniel 1:3","Y dijo el rey a Aspenaz, jefe de sus eunucos, que trajera de los hijos de Israel, del linaje real de los príncipes, | muchachos en quienes no hubiera tacha alguna, de buen parecer, instruidos en toda sabiduría, sabios en ciencia, de buen entendimiento e idóneos para estar en el palacio del rey | muchachos en quienes no hubiera tacha alguna, de buen parecer, instruidos en toda sabiduría, sabios en ciencia, de buen entendimiento e idóneos para estar en el palacio del rey",multiple_choice,expert,"cautiverio, formación, fidelidad y sabiduría (Daniel 1:3)","3, Daniel 1:3 → 3, Daniel 1:4 → 3, Daniel 1:4","Entre 3, Daniel 1:3 y 3, Daniel 1:4, ¿qué secuencia respeta el orden en que aparecen estos tres detalles en el PDF? Conjunto a ordenar: Aspenaz, hubiera tacha alguna, muchachos en quienes.","[""Aspenaz → hubiera tacha alguna → muchachos en quienes"", ""muchachos en quienes → Aspenaz → hubiera tacha alguna"", ""hubiera tacha alguna → muchachos en quienes → Aspenaz"", ""Aspenaz → muchachos en quienes → hubiera tacha alguna""]",3,Aspenaz → muchachos en quienes → hubiera tacha alguna,"[""Aspenaz → muchachos en quienes → hubiera tacha alguna""]",exact_text,"La fuente presenta primero «Aspenaz», después «muchachos en quienes» y finalmente «hubiera tacha alguna».","{""Aspenaz → hubiera tacha alguna → muchachos en quienes"": ""Altera el orden de aparición de las tres unidades citadas."", ""muchachos en quienes → Aspenaz → hubiera tacha alguna"": ""Altera el orden de aparición de las tres unidades citadas."", ""hubiera tacha alguna → muchachos en quienes → Aspenaz"": ""Altera el orden de aparición de las tres unidades citadas.""}","Y dijo el rey a Aspenaz, jefe de sus eunucos, que trajera de | muchachos en quienes no hubiera tacha alguna, de buen parecer | muchachos en quienes no hubiera tacha alguna, de buen parecer, instruidos en toda sabiduría",order_sequence,False,verified,,
DAN1-0005,DAN1-V04-S01-F01,DAN1-V04-S01-F01-MC-CONTEXTUAL-V1-01,mc-contextual-v1,DANIEL1-12,DAN1,"3, Daniel 1:4","muchachos en quienes no hubiera tacha alguna, de buen parecer, instruidos en toda sabiduría, sabios en ciencia, de buen entendimiento e idóneos para estar en el palacio del rey",multiple_choice,hard,"cautiverio, formación, fidelidad y sabiduría (Daniel 1:4)",muchachos en quienes no hubiera tacha alguna de buen parecer instruidos en toda sabiduría,"Según 3, Daniel 1:4, en la escena sobre cautiverio, formación, fidelidad y sabiduría (Daniel 1:4), ¿qué opción completa correctamente el detalle señalado? Marco: «[DETALLE] no hubiera tacha alguna, de buen parecer, instruidos en toda sabiduría, sabios en ciencia, de buen entendimiento e idóneos para estar en el palacio del rey»","[""muchachos en quienes"", ""educara durante tres"", ""eunucos puso nombres"", ""vea vuestros rostros""]",0,muchachos en quienes,"[""muchachos en quienes""]",exact_text,"«muchachos en quienes» completa el dato de 3, Daniel 1:4. Los demás elementos aparecen en otras unidades de la fuente, pero no responden a este anclaje exacto.","{""educara durante tres"": ""Es un dato de 3, Daniel 1:5; no completa el marco de 3, Daniel 1:4."", ""eunucos puso nombres"": ""Es un dato de 3, Daniel 1:7; no completa el marco de 3, Daniel 1:4."", ""vea vuestros rostros"": ""Es un dato de 3, Daniel 1:10; no completa el marco de 3, Daniel 1:4.""}","muchachos en quienes no hubiera tacha alguna, de buen parecer",true_elsewhere,False,verified,,
DAN1-0006,DAN1-V04-S02-F01,DAN1-V04-S02-F01-MC-SEQUENCE-04,mc-sequence-v1,DANIEL1-12,DAN1,"3, Daniel 1:4",y que les enseñara las letras y la lengua de los caldeos. | Y les señaló el rey una porción diaria de la comida del rey y del vino que él bebía | Y les señaló el rey una porción diaria de la comida del rey y del vino que él bebía,multiple_choice,expert,"cautiverio, formación, fidelidad y sabiduría (Daniel 1:4)","3, Daniel 1:4 → 3, Daniel 1:5 → 3, Daniel 1:5","Entre 3, Daniel 1:4 y 3, Daniel 1:5, ¿qué secuencia respeta el orden en que aparecen estos tres detalles en el PDF? Conjunto a ordenar: comida del rey, enseñara las letras, señaló el rey.","[""enseñara las letras → comida del rey → señaló el rey"", ""enseñara las letras → señaló el rey → comida del rey"", ""señaló el rey → enseñara las letras → comida del rey"", ""comida del rey → señaló el rey → enseñara las letras""]",1,enseñara las letras → señaló el rey → comida del rey,"[""enseñara las letras → señaló el rey → comida del rey""]",exact_text,"La fuente presenta primero «enseñara las letras», después «señaló el rey» y finalmente «comida del rey».","{""enseñara las letras → comida del rey → señaló el rey"": ""Altera el orden de aparición de las tres unidades citadas."", ""señaló el rey → enseñara las letras → comida del rey"": ""Altera el orden de aparición de las tres unidades citadas."", ""comida del rey → señaló el rey → enseñara las letras"": ""Altera el orden de aparición de las tres unidades citadas.""}",y que les enseñara las letras y la lengua de los caldeos | Y les señaló el rey una porción diaria de la comida del | una porción diaria de la comida del rey y del vino que él bebía,order_sequence,False,verified,,
DAN1-0007,DAN1-V05-S01-F01,DAN1-V05-S01-F01-MC-SEQUENCE-05,mc-sequence-v1,DANIEL1-12,DAN1,"3, Daniel 1:5","Y les señaló el rey una porción diaria de la comida del rey y del vino que él bebía | y que los educara durante tres años, para que al fin de ellos se presentaran delante del rey. | y que los educara durante tres años, para que al fin de ellos se presentaran delante del rey.",multiple_choice,hard,"cautiverio, formación, fidelidad y sabiduría (Daniel 1:5)","3, Daniel 1:5 → 3, Daniel 1:5 → 3, Daniel 1:5","Entre 3, Daniel 1:5 y 3, Daniel 1:5, ¿qué secuencia respeta el orden en que aparecen estos tres detalles en el PDF? Conjunto a ordenar: delante del rey, educara durante tres, señaló el rey.","[""señaló el rey → delante del rey → educara durante tres"", ""educara durante tres → señaló el rey → delante del rey"", ""señaló el rey → educara durante tres → delante del rey"", ""delante del rey → educara durante tres → señaló el rey""]",2,señaló el rey → educara durante tres → delante del rey,"[""señaló el rey → educara durante tres → delante del rey""]",exact_text,"La fuente presenta primero «señaló el rey», después «educara durante tres» y finalmente «delante del rey».","{""señaló el rey → delante del rey → educara durante tres"": ""Altera el orden de aparición de las tres unidades citadas."", ""educara durante tres → señaló el rey → delante del rey"": ""Altera el orden de aparición de las tres unidades citadas."", ""delante del rey → educara durante tres → señaló el rey"": ""Altera el orden de aparición de las tres unidades citadas.""}","Y les señaló el rey una porción diaria de la comida del | y que los educara durante tres años, para que al fin de ellos | fin de ellos se presentaran delante del rey",order_sequence,False,verified,,
DAN1-0008,DAN1-V05-S02-F01,DAN1-V05-S02-F01-MC-CONTEXTUAL-V1-01,mc-contextual-v1,DANIEL1-12,DAN1,"3, Daniel 1:5","y que los educara durante tres años, para que al fin de ellos se presentaran delante del rey.",multiple_choice,expert,"cautiverio, formación, fidelidad y sabiduría (Daniel 1:5)",y que los educara durante tres años para que al fin de ellos se,"Según 3, Daniel 1:5, en la escena sobre cautiverio, formación, fidelidad y sabiduría (Daniel 1:5), ¿qué opción completa correctamente el detalle señalado? Marco: «y que los [DETALLE] años, para que al fin de ellos se presentaran delante del rey.»","[""semejantes a vosotros"", ""ruego que hagas"", ""prueba con tus"", ""educara durante tres""]",3,educara durante tres,"[""educara durante tres""]",exact_text,"«educara durante tres» completa el dato de 3, Daniel 1:5. Los demás elementos aparecen en otras unidades de la fuente, pero no responden a este anclaje exacto.","{""semejantes a vosotros"": ""Es un dato de 3, Daniel 1:10; no completa el marco de 3, Daniel 1:5."", ""ruego que hagas"": ""Es un dato de 3, Daniel 1:12; no completa el marco de 3, Daniel 1:5."", ""prueba con tus"": ""Es un dato de 3, Daniel 1:12; no completa el marco de 3, Daniel 1:5.""}","y que los educara durante tres años, para que al fin de ellos",true_elsewhere,False,verified,,
DAN1-0009,DAN1-V06-S01-F01,DAN1-V06-S01-F01-MC-SEQUENCE-06,mc-sequence-v1,DANIEL1-12,DAN1,"3, Daniel 1:6","Entre ellos estaban Daniel, Ananías, Misael y Azarías, de los hijos de Judá. | A estos el jefe de los eunucos puso nombres: a Daniel, Beltsasar | A estos el jefe de los eunucos puso nombres: a Daniel, Beltsasar",multiple_choice,hard,"cautiverio, formación, fidelidad y sabiduría (Daniel 1:6)","3, Daniel 1:6 → 3, Daniel 1:7 → 3, Daniel 1:7","Entre 3, Daniel 1:6 y 3, Daniel 1:7, ¿qué secuencia respeta el orden en que aparecen estos tres detalles en el PDF? Conjunto a ordenar: Ananías, Beltsasar, Daniel.","[""Ananías → Beltsasar → Daniel"", ""Ananías → Daniel → Beltsasar"", ""Beltsasar → Ananías → Daniel"", ""Daniel → Beltsasar → Ananías""]",0,Ananías → Beltsasar → Daniel,"[""Ananías → Beltsasar → Daniel""]",exact_text,"La fuente presenta primero «Ananías», después «Beltsasar» y finalmente «Daniel».","{""Ananías → Daniel → Beltsasar"": ""Altera el orden de aparición de las tres unidades citadas."", ""Beltsasar → Ananías → Daniel"": ""Altera el orden de aparición de las tres unidades citadas."", ""Daniel → Beltsasar → Ananías"": ""Altera el orden de aparición de las tres unidades citadas.""}","Entre ellos estaban Daniel, Ananías, Misael y Azarías, de los hijos de | eunucos puso nombres: a Daniel, Beltsasar | los eunucos puso nombres: a Daniel, Beltsasar",order_sequence,False,verified,,
DAN1-0010,DAN1-V07-S01-F01,DAN1-V07-S01-F01-MC-CONTEXTUAL-V1-01,mc-contextual-v1,DANIEL1-12,DAN1,"3, Daniel 1:7","A estos el jefe de los eunucos puso nombres: a Daniel, Beltsasar",multiple_choice,expert,"cautiverio, formación, fidelidad y sabiduría (Daniel 1:7)",A estos el jefe de los eunucos puso nombres a Daniel Beltsasar,"Según 3, Daniel 1:7, en la escena sobre cautiverio, formación, fidelidad y sabiduría (Daniel 1:7), ¿qué opción completa correctamente el detalle señalado? Marco: «A estos el jefe de los eunucos puso nombres: a Daniel, [DETALLE]»","[""Ananías"", ""Beltsasar"", ""Azarías"", ""Daniel""]",1,Beltsasar,"[""Beltsasar""]",exact_text,"«Beltsasar» completa el dato de 3, Daniel 1:7. Los demás elementos aparecen en otras unidades de la fuente, pero no responden a este anclaje exacto.","{""Ananías"": ""Es un dato de 3, Daniel 1:6; no completa el marco de 3, Daniel 1:7."", ""Azarías"": ""Es un dato de 3, Daniel 1:6; no completa el marco de 3, Daniel 1:7."", ""Daniel"": ""Es un dato de 3, Daniel 1:6; no completa el marco de 3, Daniel 1:7.""}","eunucos puso nombres: a Daniel, Beltsasar",true_elsewhere,False,verified,,
