source_unit_id,work,chapter,verse_or_page,pdf_page,exact_quote,nearby_context,atomic_facts,atomic_fact_count,atomic_fact_records,current_question_ids,presentation_count,distinct_cognitive_operations,coverage_status,coverage_basis,coverage_scope,semantic_coverage_verified,explanation,historical_fact_ids,historical_fact_count,ocr_support,ocr_issue,context_boundary,review_flags,requires_visual_review,visual_review_status
DAN1-V001,Daniel,1,Daniel 1:1,3,"En el tercer año del reinado de Joacim, rey de Judá, vino Nabucodonosor, rey de Babilonia, a Jerusalén, y la sitió.","Posterior: El Señor entregó en sus manos a Joacim, rey de Judá, y parte de los utensilios de la casa de Dios; los trajo a tierra de Sinar, a la casa de su dios, y colocó los utensilios en la casa del tesoro de su dios.","[""En el tercer año del reinado de Joacim, rey de Judá, vino Nabucodonosor, rey de Babilonia, a Jerusalén, y la sitió.""]",1,"[{""atomic_fact_id"": ""DAN1-V001-F01"", ""coverage_basis"": ""FACT_ID_SUFFIX_AND_SOURCE_UNIT"", ""coverage_scope"": ""ATOMIC_FACT"", ""coverage_status"": ""COVERED"", ""current_question_ids"": [""DAN1-V11-WAVE-001"", ""DAN1-V11-WAVE-011"", ""DAN1-V11-WAVE-051"", ""Q-DAN1-0001"", ""V13-R2-DAN1-C8-V001-V11-F05"", ""V14-R2-DAN1-C16-001"", ""V14-R2-DAN1-C20-001"", ""V14-R2-DAN1-W1-001""], ""is_atomic"": true, ""parent_source_unit_id"": ""DAN1-V001"", ""semantic_coverage_verified"": false, ""text"": ""En el tercer año del reinado de Joacim, rey de Judá, vino Nabucodonosor, rey de Babilonia, a Jerusalén, y la sitió.""}]","[""DAN1-V11-WAVE-001"", ""DAN1-V11-WAVE-011"", ""DAN1-V11-WAVE-051"", ""Q-DAN1-0001"", ""V13-R2-DAN1-C8-V001-V11-F05"", ""V14-R2-DAN1-C16-001"", ""V14-R2-DAN1-C20-001"", ""V14-R2-DAN1-W1-001""]",8,"[""factual_recall"", ""identification"", ""narrative_order"", ""relationship""]",COVERED,SOURCE_UNIT_ID_LINK_ONLY,SOURCE_UNIT,False,"Unidad respaldada por la fuente verificada con 8 presentación(es) actual(es) vinculada(s) por source_unit_id. Es evidencia de enlace de fuente, no verificación semántica de la pregunta ni de cada distractor.","[""FACT-D01-V01-001"", ""FACT-D01-V01-002"", ""FACT-D01-V01-003"", ""FACT-D01-V01-004"", ""FACT-D01-V01-005""]",5,True,,DOCUMENT_START,[],False,NOT_REQUIRED
DAN1-V002,Daniel,1,Daniel 1:2,3,"El Señor entregó en sus manos a Joacim, rey de Judá, y parte de los utensilios de la casa de Dios; los trajo a tierra de Sinar, a la casa de su dios, y colocó los utensilios en la casa del tesoro de su dios.","Anterior: En el tercer año del reinado de Joacim, rey de Judá, vino Nabucodonosor, rey de Babilonia, a Jerusalén, y la sitió. Posterior: Y dijo el rey a Aspenaz, jefe de sus eunucos, que trajera de los hijos de Israel, del linaje real de los príncipes,","[""El Señor entregó en sus manos a Joacim, rey de Judá, y parte de los utensilios de la casa de Dios"", ""los trajo a tierra de Sinar, a la casa de su dios, y colocó los utensilios en la casa del tesoro de su dios.""]",2,"[{""atomic_fact_id"": ""DAN1-V002-F01"", ""coverage_basis"": ""FACT_ID_SUFFIX_AND_SOURCE_UNIT"", ""coverage_scope"": ""ATOMIC_FACT"", ""coverage_status"": ""COVERED"", ""current_question_ids"": [""Q-DAN1-0002"", ""V14-R2-DAN1-C16-002""], ""is_atomic"": true, ""parent_source_unit_id"": ""DAN1-V002"", ""semantic_coverage_verified"": false, ""text"": ""El Señor entregó en sus manos a Joacim, rey de Judá, y parte de los utensilios de la casa de Dios""}, {""atomic_fact_id"": ""DAN1-V002-F02"", ""coverage_basis"": ""FACT_ID_SUFFIX_AND_SOURCE_UNIT"", ""coverage_scope"": ""ATOMIC_FACT"", ""coverage_status"": ""COVERED"", ""current_question_ids"": [""DAN1-V11-WAVE-002"", ""V13-R2-DAN1-C11-006""], ""is_atomic"": true, ""parent_source_unit_id"": ""DAN1-V002"", ""semantic_coverage_verified"": false, ""text"": ""los trajo a tierra de Sinar, a la casa de su dios, y colocó los utensilios en la casa del tesoro de su dios.""}]","[""DAN1-V11-WAVE-002"", ""DAN1-V11-WAVE-003"", ""DAN1-V11-WAVE-012"", ""Q-DAN1-0002"", ""V13-R2-DAN1-C10-V002-V11-F04"", ""V13-R2-DAN1-C11-006"", ""V14-R2-DAN1-C16-002"", ""V14-R2-DAN1-C20-002"", ""V14-R2-DAN1-W1-002""]",9,"[""cause_consequence"", ""identification"", ""narrative_order"", ""relationship""]",COVERED_MERGED,SOURCE_UNIT_ID_LINK_ONLY,SOURCE_UNIT,False,La unidad padre contiene 2 hechos atómicos expuestos como hijos estables. Las presentaciones se enlazan al source_unit_id padre; ese enlace no constituye verificación semántica por hecho y requiere revisión visual.,"[""FACT-D01-V02-001"", ""FACT-D01-V02-002"", ""FACT-D01-V02-003"", ""FACT-D01-V02-004"", ""FACT-D01-V02-005""]",5,True,,UNIT,"[""ATOMIC_SPLIT_HEURISTIC""]",True,REVIEW_REQUIRED
DAN1-V003,Daniel,1,Daniel 1:3,3,"Y dijo el rey a Aspenaz, jefe de sus eunucos, que trajera de los hijos de Israel, del linaje real de los príncipes,","Anterior: El Señor entregó en sus manos a Joacim, rey de Judá, y parte de los utensilios de la casa de Dios; los trajo a tierra de Sinar, a la casa de su dios, y colocó los utensilios en la casa del tesoro de su dios. Posterior: muchachos en quienes no hubiera tacha alguna, de buen parecer, instruidos en toda sabiduría, sabios en ciencia, de buen entendimiento e idóneos para estar en el palacio del rey; y que les enseñara las letras y la lengua de los caldeos.","[""Y dijo el rey a Aspenaz, jefe de sus eunucos, que trajera de los hijos de Israel, del linaje real de los príncipes,""]",1,"[{""atomic_fact_id"": ""DAN1-V003-F01"", ""coverage_basis"": ""FACT_ID_SUFFIX_AND_SOURCE_UNIT"", ""coverage_scope"": ""ATOMIC_FACT"", ""coverage_status"": ""COVERED"", ""current_question_ids"": [""DAN1-V11-WAVE-004"", ""DAN1-V11-WAVE-013"", ""DAN1-V11-WAVE-028"", ""Q-DAN1-0003"", ""V13-R2-DAN1-C9-V003-V11-F03"", ""V14-R2-DAN1-C16-003"", ""V14-R2-DAN1-C20-003"", ""V14-R2-DAN1-W1-003""], ""is_atomic"": true, ""parent_source_unit_id"": ""DAN1-V003"", ""semantic_coverage_verified"": false, ""text"": ""Y dijo el rey a Aspenaz, jefe de sus eunucos, que trajera de los hijos de Israel, del linaje real de los príncipes,""}]","[""DAN1-V11-WAVE-004"", ""DAN1-V11-WAVE-013"", ""DAN1-V11-WAVE-028"", ""Q-DAN1-0003"", ""V13-R2-DAN1-C9-V003-V11-F03"", ""V14-R2-DAN1-C16-003"", ""V14-R2-DAN1-C20-003"", ""V14-R2-DAN1-W1-003""]",8,"[""identification"", ""relationship"", ""speaker_addressee""]",COVERED,SOURCE_UNIT_ID_LINK_ONLY,SOURCE_UNIT,False,"Unidad respaldada por la fuente verificada con 8 presentación(es) actual(es) vinculada(s) por source_unit_id. Es evidencia de enlace de fuente, no verificación semántica de la pregunta ni de cada distractor.","[""FACT-D01-V03-001"", ""FACT-D01-V03-002"", ""FACT-D01-V03-003"", ""FACT-D01-V03-004""]",4,True,,UNIT,[],False,NOT_REQUIRED
DAN1-V004,Daniel,1,Daniel 1:4,3,"muchachos en quienes no hubiera tacha alguna, de buen parecer, instruidos en toda sabiduría, sabios en ciencia, de buen entendimiento e idóneos para estar en el palacio del rey; y que les enseñara las letras y la lengua de los caldeos.","Anterior: Y dijo el rey a Aspenaz, jefe de sus eunucos, que trajera de los hijos de Israel, del linaje real de los príncipes, Posterior: Y les señaló el rey una porción diaria de la comida del rey y del vino que él bebía; y que los educara durante tres años, para que al fin de ellos se presentaran delante del rey.","[""muchachos en quienes no hubiera tacha alguna, de buen parecer, instruidos en toda sabiduría, sabios en ciencia, de buen entendimiento e idóneos para estar en el palacio del rey"", ""y que les enseñara las letras y la lengua de los caldeos.""]",2,"[{""atomic_fact_id"": ""DAN1-V004-F01"", ""coverage_basis"": ""FACT_ID_SUFFIX_AND_SOURCE_UNIT"", ""coverage_scope"": ""ATOMIC_FACT"", ""coverage_status"": ""COVERED"", ""current_question_ids"": [""Q-DAN1-0004"", ""V13-R2-DAN1-C8-V004-F01""], ""is_atomic"": true, ""parent_source_unit_id"": ""DAN1-V004"", ""semantic_coverage_verified"": false, ""text"": ""muchachos en quienes no hubiera tacha alguna, de buen parecer, instruidos en toda sabiduría, sabios en ciencia, de buen entendimiento e idóneos para estar en el palacio del rey""}, {""atomic_fact_id"": ""DAN1-V004-F02"", ""coverage_basis"": ""FACT_ID_SUFFIX_AND_SOURCE_UNIT"", ""coverage_scope"": ""ATOMIC_FACT"", ""coverage_status"": ""COVERED"", ""current_question_ids"": [""DAN1-V11-WAVE-005"", ""V14-R2-DAN1-C20-004"", ""V14-R2-DAN1-W1-004""], ""is_atomic"": true, ""parent_source_unit_id"": ""DAN1-V004"", ""semantic_coverage_verified"": false, ""text"": ""y que les enseñara las letras y la lengua de los caldeos.""}]","[""DAN1-V11-WAVE-005"", ""DAN1-V11-WAVE-014"", ""Q-DAN1-0004"", ""V13-R2-DAN1-C8-V004-F01"", ""V14-R2-DAN1-C20-004"", ""V14-R2-DAN1-W1-004"", ""V14-R2-DAN1-W1-005""]",7,"[""factual_recall"", ""relationship""]",COVERED_MERGED,SOURCE_UNIT_ID_LINK_ONLY,SOURCE_UNIT,False,La unidad padre contiene 2 hechos atómicos expuestos como hijos estables. Las presentaciones se enlazan al source_unit_id padre; ese enlace no constituye verificación semántica por hecho y requiere revisión visual.,"[""FACT-D01-V04-001"", ""FACT-D01-V04-002"", ""FACT-D01-V04-003"", ""FACT-D01-V04-004"", ""FACT-D01-V04-005"", ""FACT-D01-V04-006"", ""FACT-D01-V04-007"", ""FACT-D01-V04-008""]",8,True,,UNIT,"[""ATOMIC_SPLIT_HEURISTIC""]",True,REVIEW_REQUIRED
DAN1-V005,Daniel,1,Daniel 1:5,3,"Y les señaló el rey una porción diaria de la comida del rey y del vino que él bebía; y que los educara durante tres años, para que al fin de ellos se presentaran delante del rey.","Anterior: muchachos en quienes no hubiera tacha alguna, de buen parecer, instruidos en toda sabiduría, sabios en ciencia, de buen entendimiento e idóneos para estar en el palacio del rey; y que les enseñara las letras y la lengua de los caldeos. Posterior: Entre ellos estaban Daniel, Ananías, Misael y Azarías, de los hijos de Judá.","[""Y les señaló el rey una porción diaria de la comida del rey y del vino que él bebía"", ""y que los educara durante tres años, para que al fin de ellos se presentaran delante del rey.""]",2,"[{""atomic_fact_id"": ""DAN1-V005-F01"", ""coverage_basis"": ""FACT_ID_SUFFIX_AND_SOURCE_UNIT"", ""coverage_scope"": ""ATOMIC_FACT"", ""coverage_status"": ""COVERED"", ""current_question_ids"": [""Q-DAN1-0005"", ""V13-R2-DAN1-C11-003""], ""is_atomic"": true, ""parent_source_unit_id"": ""DAN1-V005"", ""semantic_coverage_verified"": false, ""text"": ""Y les señaló el rey una porción diaria de la comida del rey y del vino que él bebía""}, {""atomic_fact_id"": ""DAN1-V005-F02"", ""coverage_basis"": ""FACT_ID_SUFFIX_AND_SOURCE_UNIT"", ""coverage_scope"": ""ATOMIC_FACT"", ""coverage_status"": ""COVERED"", ""current_question_ids"": [""DAN1-V11-WAVE-006"", ""V14-R2-DAN1-C20-005"", ""V14-R2-DAN1-W1-006""], ""is_atomic"": true, ""parent_source_unit_id"": ""DAN1-V005"", ""semantic_coverage_verified"": false, ""text"": ""y que los educara durante tres años, para que al fin de ellos se presentaran delante del rey.""}]","[""DAN1-V11-WAVE-006"", ""DAN1-V11-WAVE-015"", ""DAN1-V11-WAVE-032"", ""DAN1-V11-WAVE-055"", ""Q-DAN1-0005"", ""V13-R2-DAN1-C11-003"", ""V13-R2-DAN1-C8-V005-V11-F06"", ""V14-R2-DAN1-C20-005"", ""V14-R2-DAN1-W1-006"", ""V14-R2-DAN1-W1-007"", ""V14-R2-DAN1-W1-008""]",11,"[""cause_consequence"", ""factual_recall"", ""identification"", ""narrative_order"", ""relationship""]",COVERED_MERGED,SOURCE_UNIT_ID_LINK_ONLY,SOURCE_UNIT,False,La unidad padre contiene 2 hechos atómicos expuestos como hijos estables. Las presentaciones se enlazan al source_unit_id padre; ese enlace no constituye verificación semántica por hecho y requiere revisión visual.,"[""FACT-D01-V05-001"", ""FACT-D01-V05-002"", ""FACT-D01-V05-003"", ""FACT-D01-V05-004""]",4,True,,UNIT,"[""ATOMIC_SPLIT_HEURISTIC""]",True,REVIEW_REQUIRED
DAN1-V006,Daniel,1,Daniel 1:6,3,"Entre ellos estaban Daniel, Ananías, Misael y Azarías, de los hijos de Judá.","Anterior: Y les señaló el rey una porción diaria de la comida del rey y del vino que él bebía; y que los educara durante tres años, para que al fin de ellos se presentaran delante del rey. Posterior: A estos el jefe de los eunucos puso nombres: a Daniel, Beltsasar; a Ananías, Sadrac; a Misael, Mesac; y a Azarías, Abed-nego.","[""Entre ellos estaban Daniel, Ananías, Misael y Azarías, de los hijos de Judá.""]",1,"[{""atomic_fact_id"": ""DAN1-V006-F01"", ""coverage_basis"": ""FACT_ID_SUFFIX_AND_SOURCE_UNIT"", ""coverage_scope"": ""ATOMIC_FACT"", ""coverage_status"": ""COVERED"", ""current_question_ids"": [""DAN1-V11-WAVE-016"", ""DAN1-V11-WAVE-019"", ""Q-DAN1-0006"", ""V13-R2-DAN1-C11-001"", ""V14-R2-DAN1-C20-006"", ""V14-R2-DAN1-W1-009""], ""is_atomic"": true, ""parent_source_unit_id"": ""DAN1-V006"", ""semantic_coverage_verified"": false, ""text"": ""Entre ellos estaban Daniel, Ananías, Misael y Azarías, de los hijos de Judá.""}]","[""DAN1-V11-WAVE-016"", ""DAN1-V11-WAVE-019"", ""Q-DAN1-0006"", ""V13-R2-DAN1-C11-001"", ""V14-R2-DAN1-C20-006"", ""V14-R2-DAN1-W1-009""]",6,"[""identification"", ""relationship""]",COVERED,SOURCE_UNIT_ID_LINK_ONLY,SOURCE_UNIT,False,"Unidad respaldada por la fuente verificada con 6 presentación(es) actual(es) vinculada(s) por source_unit_id. Es evidencia de enlace de fuente, no verificación semántica de la pregunta ni de cada distractor.","[""FACT-D01-V06-001"", ""FACT-D01-V06-002"", ""FACT-D01-V06-003"", ""FACT-D01-V06-004"", ""FACT-D01-V06-005""]",5,True,,UNIT,[],False,NOT_REQUIRED
DAN1-V007,Daniel,1,Daniel 1:7,3,"A estos el jefe de los eunucos puso nombres: a Daniel, Beltsasar; a Ananías, Sadrac; a Misael, Mesac; y a Azarías, Abed-nego.","Anterior: Entre ellos estaban Daniel, Ananías, Misael y Azarías, de los hijos de Judá. Posterior: Daniel propuso en su corazón no contaminarse con la porción de la comida del rey ni con el vino que él bebía; pidió, por tanto, al jefe de los eunucos que no se le obligara a contaminarse.","[""A estos el jefe de los eunucos puso nombres: a Daniel, Beltsasar"", ""a Ananías, Sadrac"", ""a Misael, Mesac"", ""y a Azarías, Abed-nego.""]",4,"[{""atomic_fact_id"": ""DAN1-V007-F01"", ""coverage_basis"": ""FACT_ID_SUFFIX_AND_SOURCE_UNIT"", ""coverage_scope"": ""ATOMIC_FACT"", ""coverage_status"": ""COVERED"", ""current_question_ids"": [""Q-DAN1-0007"", ""V13-R2-DAN1-V007-F01""], ""is_atomic"": true, ""parent_source_unit_id"": ""DAN1-V007"", ""semantic_coverage_verified"": false, ""text"": ""A estos el jefe de los eunucos puso nombres: a Daniel, Beltsasar""}, {""atomic_fact_id"": ""DAN1-V007-F02"", ""coverage_basis"": ""FACT_ID_SUFFIX_AND_SOURCE_UNIT"", ""coverage_scope"": ""ATOMIC_FACT"", ""coverage_status"": ""COVERED"", ""current_question_ids"": [""DAN1-V11-WAVE-007"", ""V14-R2-DAN1-C20-007""], ""is_atomic"": true, ""parent_source_unit_id"": ""DAN1-V007"", ""semantic_coverage_verified"": false, ""text"": ""a Ananías, Sadrac""}, {""atomic_fact_id"": ""DAN1-V007-F03"", ""coverage_basis"": ""SOURCE_UNIT_ID_LINK_ONLY"", ""coverage_scope"": ""ATOMIC_FACT"", ""coverage_status"": ""COVERED_MERGED"", ""current_question_ids"": [], ""is_atomic"": true, ""parent_source_unit_id"": ""DAN1-V007"", ""semantic_coverage_verified"": false, ""text"": ""a Misael, Mesac""}, {""atomic_fact_id"": ""DAN1-V007-F04"", ""coverage_basis"": ""SOURCE_UNIT_ID_LINK_ONLY"", ""coverage_scope"": ""ATOMIC_FACT"", ""coverage_status"": ""COVERED_MERGED"", ""current_question_ids"": [], ""is_atomic"": true, ""parent_source_unit_id"": ""DAN1-V007"", ""semantic_coverage_verified"": false, ""text"": ""y a Azarías, Abed-nego.""}]","[""DAN1-V11-WAVE-007"", ""Q-DAN1-0007"", ""V13-R2-DAN1-V007-F01"", ""V14-R2-DAN1-C20-007""]",4,"[""identification"", ""relationship""]",COVERED_MERGED,SOURCE_UNIT_ID_LINK_ONLY,SOURCE_UNIT,False,La unidad padre contiene 4 hechos atómicos expuestos como hijos estables. Las presentaciones se enlazan al source_unit_id padre; ese enlace no constituye verificación semántica por hecho y requiere revisión visual.,"[""FACT-D01-V07-001"", ""FACT-D01-V07-002"", ""FACT-D01-V07-003"", ""FACT-D01-V07-004"", ""FACT-D01-V07-005""]",5,True,,UNIT,"[""ATOMIC_SPLIT_HEURISTIC""]",True,REVIEW_REQUIRED
DAN1-V008,Daniel,1,Daniel 1:8,3,"Daniel propuso en su corazón no contaminarse con la porción de la comida del rey ni con el vino que él bebía; pidió, por tanto, al jefe de los eunucos que no se le obligara a contaminarse.","Anterior: A estos el jefe de los eunucos puso nombres: a Daniel, Beltsasar; a Ananías, Sadrac; a Misael, Mesac; y a Azarías, Abed-nego. Posterior: Puso Dios a Daniel en gracia y en buena voluntad con el jefe de los eunucos;","[""Daniel propuso en su corazón no contaminarse con la porción de la comida del rey ni con el vino que él bebía"", ""pidió, por tanto, al jefe de los eunucos que no se le obligara a contaminarse.""]",2,"[{""atomic_fact_id"": ""DAN1-V008-F01"", ""coverage_basis"": ""SOURCE_UNIT_ID_LINK_ONLY"", ""coverage_scope"": ""ATOMIC_FACT"", ""coverage_status"": ""COVERED_MERGED"", ""current_question_ids"": [], ""is_atomic"": true, ""parent_source_unit_id"": ""DAN1-V008"", ""semantic_coverage_verified"": false, ""text"": ""Daniel propuso en su corazón no contaminarse con la porción de la comida del rey ni con el vino que él bebía""}, {""atomic_fact_id"": ""DAN1-V008-F02"", ""coverage_basis"": ""FACT_ID_SUFFIX_AND_SOURCE_UNIT"", ""coverage_scope"": ""ATOMIC_FACT"", ""coverage_status"": ""COVERED"", ""current_question_ids"": [""DAN1-V11-WAVE-008"", ""Q-DAN1-0008"", ""V13-R2-DAN1-C8-V008-F02"", ""V14-R2-DAN1-C20-008"", ""V14-R2-DAN1-W1-010""], ""is_atomic"": true, ""parent_source_unit_id"": ""DAN1-V008"", ""semantic_coverage_verified"": false, ""text"": ""pidió, por tanto, al jefe de los eunucos que no se le obligara a contaminarse.""}]","[""DAN1-V11-WAVE-008"", ""Q-DAN1-0008"", ""V13-R2-DAN1-C8-V008-F02"", ""V14-R2-DAN1-C20-008"", ""V14-R2-DAN1-W1-010""]",5,"[""cause_consequence"", ""narrative_order"", ""principle"", ""relationship""]",COVERED_MERGED,SOURCE_UNIT_ID_LINK_ONLY,SOURCE_UNIT,False,La unidad padre contiene 2 hechos atómicos expuestos como hijos estables. Las presentaciones se enlazan al source_unit_id padre; ese enlace no constituye verificación semántica por hecho y requiere revisión visual.,"[""FACT-D01-V08-001"", ""FACT-D01-V08-002"", ""FACT-D01-V08-003""]",3,True,,UNIT,"[""ATOMIC_SPLIT_HEURISTIC""]",True,REVIEW_REQUIRED
DAN1-V009,Daniel,1,Daniel 1:9,3,Puso Dios a Daniel en gracia y en buena voluntad con el jefe de los eunucos;,"Anterior: Daniel propuso en su corazón no contaminarse con la porción de la comida del rey ni con el vino que él bebía; pidió, por tanto, al jefe de los eunucos que no se le obligara a contaminarse. Posterior: y el jefe de los eunucos dijo a Daniel: —Temo a mi señor el rey, que asignó vuestra comida y vuestra bebida; pues luego que él vea vuestros rostros más pálidos que los de los muchachos que son semejantes a vosotros, haréis que el rey me condene a muerte.","[""Puso Dios a Daniel en gracia y en buena voluntad con el jefe de los eunucos;""]",1,"[{""atomic_fact_id"": ""DAN1-V009-F01"", ""coverage_basis"": ""FACT_ID_SUFFIX_AND_SOURCE_UNIT"", ""coverage_scope"": ""ATOMIC_FACT"", ""coverage_status"": ""COVERED"", ""current_question_ids"": [""DAN1-V11-WAVE-020"", ""Q-DAN1-0009"", ""V14-R2-DAN1-C16-004"", ""V14-R2-DAN1-W1-011""], ""is_atomic"": true, ""parent_source_unit_id"": ""DAN1-V009"", ""semantic_coverage_verified"": false, ""text"": ""Puso Dios a Daniel en gracia y en buena voluntad con el jefe de los eunucos;""}]","[""DAN1-V11-WAVE-020"", ""Q-DAN1-0009"", ""V14-R2-DAN1-C16-004"", ""V14-R2-DAN1-W1-011""]",4,"[""cause_consequence"", ""relationship""]",COVERED,SOURCE_UNIT_ID_LINK_ONLY,SOURCE_UNIT,False,"Unidad respaldada por la fuente verificada con 4 presentación(es) actual(es) vinculada(s) por source_unit_id. Es evidencia de enlace de fuente, no verificación semántica de la pregunta ni de cada distractor.","[""FACT-D01-V09-001""]",1,True,,UNIT,[],False,NOT_REQUIRED
DAN1-V010,Daniel,1,Daniel 1:10,3,"y el jefe de los eunucos dijo a Daniel: —Temo a mi señor el rey, que asignó vuestra comida y vuestra bebida; pues luego que él vea vuestros rostros más pálidos que los de los muchachos que son semejantes a vosotros, haréis que el rey me condene a muerte.","Anterior: Puso Dios a Daniel en gracia y en buena voluntad con el jefe de los eunucos; Posterior: Entonces dijo Daniel a Melsar, a quien el jefe de los eunucos había puesto sobre Daniel, Ananías, Misael y Azarías:","[""y el jefe de los eunucos dijo a Daniel: —Temo a mi señor el rey, que asignó vuestra comida y vuestra bebida"", ""pues luego que él vea vuestros rostros más pálidos que los de los muchachos que son semejantes a vosotros, haréis que el rey me condene a muerte.""]",2,"[{""atomic_fact_id"": ""DAN1-V010-F01"", ""coverage_basis"": ""FACT_ID_SUFFIX_AND_SOURCE_UNIT"", ""coverage_scope"": ""ATOMIC_FACT"", ""coverage_status"": ""COVERED"", ""current_question_ids"": [""Q-DAN1-0010"", ""V13-R2-DAN1-V010-F01""], ""is_atomic"": true, ""parent_source_unit_id"": ""DAN1-V010"", ""semantic_coverage_verified"": false, ""text"": ""y el jefe de los eunucos dijo a Daniel: —Temo a mi señor el rey, que asignó vuestra comida y vuestra bebida""}, {""atomic_fact_id"": ""DAN1-V010-F02"", ""coverage_basis"": ""FACT_ID_SUFFIX_AND_SOURCE_UNIT"", ""coverage_scope"": ""ATOMIC_FACT"", ""coverage_status"": ""COVERED"", ""current_question_ids"": [""DAN1-V11-WAVE-009"", ""V14-R2-DAN1-C20-009"", ""V14-R2-DAN1-W1-012""], ""is_atomic"": true, ""parent_source_unit_id"": ""DAN1-V010"", ""semantic_coverage_verified"": false, ""text"": ""pues luego que él vea vuestros rostros más pálidos que los de los muchachos que son semejantes a vosotros, haréis que el rey me condene a muerte.""}]","[""DAN1-V11-WAVE-009"", ""DAN1-V11-WAVE-036"", ""DAN1-V11-WAVE-037"", ""Q-DAN1-0010"", ""V13-R2-DAN1-V010-F01"", ""V14-R2-DAN1-C20-009"", ""V14-R2-DAN1-W1-012"", ""V14-R2-DAN1-W1-013"", ""V14-R2-DAN1-W1-014""]",9,"[""cause_consequence"", ""comparison"", ""identification"", ""relationship""]",COVERED_MERGED,SOURCE_UNIT_ID_LINK_ONLY,SOURCE_UNIT,False,La unidad padre contiene 2 hechos atómicos expuestos como hijos estables. Las presentaciones se enlazan al source_unit_id padre; ese enlace no constituye verificación semántica por hecho y requiere revisión visual.,"[""FACT-D01-V10-001"", ""FACT-D01-V10-002"", ""FACT-D01-V10-003"", ""FACT-D01-V10-004""]",4,True,,UNIT,"[""ATOMIC_SPLIT_HEURISTIC""]",True,REVIEW_REQUIRED
