id,fact_id,variant_id,template_id,bank,chapter,verse_or_page,source_span,type,difficulty,topic,context_anchor,question,options,correct_option,correct_answer,accepted_answers,answer_mode,explanation,why_distractors_fail,source_quote,trap_type,blind_final_pool,validation_status,incorrect_detail,correction
PR39-0001,PR39-P027-S01-01-F01,PR39-P027-S01-01-F01-MC-SEQUENCE-01,mc-sequence-v1,PR39-44,PR39,"27, PR39, párrafo 1","El hecho de que esos adoradores de Jehová estuviesen cautivos en Babilonia y de que los vasos de la casa de Dios se hallaran en el templo de los dioses babilónicos, era mencionado jactanciosamente por los vencedores como evidencia de que su religión y sus costumbres eran superiores a la religión y las costumbres de los hebreos. | Y dió este testimonio de la única manera que podía ser dado, por medio de los que le eran leales. | Entre los que mantenían su fidelidad a Dios, se contaban Daniel y sus tres compañeros, ilustres ejemplos de lo que pueden llegar a ser los hombres que se unen con el Dios de sabiduría y poder.",multiple_choice,hard,"cautiverio, misión y cambio de nombres","27, PR39, párrafo 1 → 27, PR39, párrafo 1 → 27, PR39, párrafo 2","Entre 27, PR39, párrafo 1 y 27, PR39, párrafo 2, ¿qué secuencia respeta el orden en que aparecen estos tres detalles en el PDF? Conjunto a ordenar: Babilonia, Daniel, dió este testimonio.","[""Babilonia → dió este testimonio → Daniel"", ""Babilonia → Daniel → dió este testimonio"", ""dió este testimonio → Babilonia → Daniel"", ""Daniel → dió este testimonio → Babilonia""]",0,Babilonia → dió este testimonio → Daniel,"[""Babilonia → dió este testimonio → Daniel""]",exact_text,"La fuente presenta primero «Babilonia», después «dió este testimonio» y finalmente «Daniel».","{""Babilonia → Daniel → dió este testimonio"": ""Altera el orden de aparición de las tres unidades citadas."", ""dió este testimonio → Babilonia → Daniel"": ""Altera el orden de aparición de las tres unidades citadas."", ""Daniel → dió este testimonio → Babilonia"": ""Altera el orden de aparición de las tres unidades citadas.""}","de Jehová estuviesen cautivos en Babilonia y de que los vasos de la | Y dió este testimonio de la única manera que podía ser | fidelidad a Dios, se contaban Daniel y sus tres compañeros, ilustres ejemplos de",order_sequence,False,verified,,
PR39-0002,PR39-P027-S01-02-F01,PR39-P027-S01-02-F01-MC-CONTEXTUAL-V1-01,mc-contextual-v1,PR39-44,PR39,"27, PR39, párrafo 1","Sin embargo, mediante las mismas humillaciones que había acarreado la forma en que Israel se había desviado de él, Dios dió a Babilonia evidencia de su supremacía, de la santidad de sus requerimientos y de los seguros resultados que produce la obediencia.",multiple_choice,expert,"cautiverio, misión y cambio de nombres",Sin embargo mediante las mismas humillaciones que había acarreado la forma en que Israel,"Según 27, PR39, párrafo 1, en la escena sobre cautiverio, misión y cambio de nombres, ¿qué opción completa correctamente el detalle señalado? Marco: «Sin embargo, mediante las mismas humillaciones que había acarreado la forma en que Israel se había desviado de él, Dios dió a [DETALLE] evidencia de su supremacía, de la santidad de sus requerimientos y de los seguros resultados que produce la obediencia.»","[""Jehová"", ""Babilonia"", ""Israel"", ""Daniel""]",1,Babilonia,"[""Babilonia""]",exact_text,"«Babilonia» completa el dato de 27, PR39, párrafo 1. Los demás elementos aparecen en otras unidades de la fuente, pero no responden a este anclaje exacto.","{""Jehová"": ""Es un dato de 27, PR39, párrafo 1; no completa el marco de 27, PR39, párrafo 1."", ""Israel"": ""Es un dato de 27, PR39, párrafo 1; no completa el marco de 27, PR39, párrafo 1."", ""Daniel"": ""Es un dato de 27, PR39, párrafo 2; no completa el marco de 27, PR39, párrafo 1.""}","de él, Dios dió a Babilonia evidencia de su supremacía, de la santidad",close_detail,False,verified,,
PR39-0003,PR39-P027-S01-03-F01,PR39-P027-S01-03-F01-MC-CONTEXTUAL-V1-01,mc-contextual-v1,PR39-44,PR39,"27, PR39, párrafo 1","Y dió este testimonio de la única manera que podía ser dado, por medio de los que le eran leales.",multiple_choice,hard,"cautiverio, misión y cambio de nombres",Y dió este testimonio de la única manera que podía ser dado por medio,"Según 27, PR39, párrafo 1, en la escena sobre cautiverio, misión y cambio de nombres, ¿qué opción completa correctamente el detalle señalado? Marco: «Y [DETALLE] de la única manera que podía ser dado, por medio de los que le eran leales.»","[""humillaciones que había"", ""acarreado la forma"", ""dió este testimonio"", ""resultados que produce""]",2,dió este testimonio,"[""dió este testimonio""]",exact_text,"«dió este testimonio» completa el dato de 27, PR39, párrafo 1. Los demás elementos aparecen en otras unidades de la fuente, pero no responden a este anclaje exacto.","{""humillaciones que había"": ""Es un dato de 27, PR39, párrafo 1; no completa el marco de 27, PR39, párrafo 1."", ""acarreado la forma"": ""Es un dato de 27, PR39, párrafo 1; no completa el marco de 27, PR39, párrafo 1."", ""resultados que produce"": ""Es un dato de 27, PR39, párrafo 1; no completa el marco de 27, PR39, párrafo 1.""}",Y dió este testimonio de la única manera que podía ser,true_elsewhere,False,verified,,
PR39-0004,PR39-P027-S02-01-F01,PR39-P027-S02-01-F01-MC-SEQUENCE-02,mc-sequence-v1,PR39-44,PR39,"27, PR39, párrafo 2","Entre los que mantenían su fidelidad a Dios, se contaban Daniel y sus tres compañeros, ilustres ejemplos de lo que pueden llegar a ser los hombres que se unen con el Dios de sabiduría y poder. | Desde la comparativa sencillez de su hogar judío, estos jóvenes del linaje real fueron llevados a la más magnífica de las ciudades, y a la corte del mayor monarca del mundo. | Nabucodonosor ordenó “a Aspenaz, príncipe de sus eunucos, que trajese de los hijos de Israel, del linaje real de los príncipes, muchachos en quienes no hubiese tacha alguna, y de buen parecer, y enseñados en toda sabiduría, y sabios en ciencia, y de buen entendimiento, e idóneos para estar en el palacio del rey...",multiple_choice,expert,"cautiverio, misión y cambio de nombres","27, PR39, párrafo 2 → 27, PR39, párrafo 2 → 27, PR39, párrafo 2","Entre 27, PR39, párrafo 2 y 27, PR39, párrafo 2, ¿qué secuencia respeta el orden en que aparecen estos tres detalles en el PDF? Conjunto a ordenar: Aspenaz, Daniel, jóvenes del linaje.","[""Daniel → Aspenaz → jóvenes del linaje"", ""jóvenes del linaje → Daniel → Aspenaz"", ""Aspenaz → jóvenes del linaje → Daniel"", ""Daniel → jóvenes del linaje → Aspenaz""]",3,Daniel → jóvenes del linaje → Aspenaz,"[""Daniel → jóvenes del linaje → Aspenaz""]",exact_text,"La fuente presenta primero «Daniel», después «jóvenes del linaje» y finalmente «Aspenaz».","{""Daniel → Aspenaz → jóvenes del linaje"": ""Altera el orden de aparición de las tres unidades citadas."", ""jóvenes del linaje → Daniel → Aspenaz"": ""Altera el orden de aparición de las tres unidades citadas."", ""Aspenaz → jóvenes del linaje → Daniel"": ""Altera el orden de aparición de las tres unidades citadas.""}","fidelidad a Dios, se contaban Daniel y sus tres compañeros, ilustres ejemplos de | de su hogar judío, estos jóvenes del linaje real fueron llevados a la más magnífica | Nabucodonosor ordenó “a Aspenaz, príncipe de sus eunucos, que trajese de",order_sequence,False,verified,,
PR39-0005,PR39-P027-S02-02-F01,PR39-P027-S02-02-F01-MC-CONTEXTUAL-V1-01,mc-contextual-v1,PR39-44,PR39,"27, PR39, párrafo 2","Desde la comparativa sencillez de su hogar judío, estos jóvenes del linaje real fueron llevados a la más magnífica de las ciudades, y a la corte del mayor monarca del mundo.",multiple_choice,hard,"cautiverio, misión y cambio de nombres",Desde la comparativa sencillez de su hogar judío estos jóvenes del linaje real fueron,"Según 27, PR39, párrafo 2, en la escena sobre cautiverio, misión y cambio de nombres, ¿qué opción completa correctamente el detalle señalado? Marco: «Desde la comparativa sencillez de su hogar judío, estos [DETALLE] real fueron llevados a la más magnífica de las ciudades, y a la corte del mayor monarca del mundo.»","[""jóvenes del linaje"", ""resultados que produce"", ""había desviado"", ""dió este testimonio""]",0,jóvenes del linaje,"[""jóvenes del linaje""]",exact_text,"«jóvenes del linaje» completa el dato de 27, PR39, párrafo 2. Los demás elementos aparecen en otras unidades de la fuente, pero no responden a este anclaje exacto.","{""resultados que produce"": ""Es un dato de 27, PR39, párrafo 1; no completa el marco de 27, PR39, párrafo 2."", ""había desviado"": ""Es un dato de 27, PR39, párrafo 1; no completa el marco de 27, PR39, párrafo 2."", ""dió este testimonio"": ""Es un dato de 27, PR39, párrafo 1; no completa el marco de 27, PR39, párrafo 2.""}","de su hogar judío, estos jóvenes del linaje real fueron llevados a la más magnífica",true_elsewhere,False,verified,,
PR39-0006,PR39-P027-S02-03-F01,PR39-P027-S02-03-F01-MC-SEQUENCE-03,mc-sequence-v1,PR39-44,PR39,"27, PR39, párrafo 2","Nabucodonosor ordenó “a Aspenaz, príncipe de sus eunucos, que trajese de los hijos de Israel, del linaje real de los príncipes, muchachos en quienes no hubiese tacha alguna, y de buen parecer, y enseñados en toda sabiduría, y sabios en ciencia, y de buen entendimiento, e idóneos para estar en el palacio del rey... | “Y fueron entre ellos, de los hijos de Judá, Daniel, Ananías, Misael y Azarías. | Viendo en estos jóvenes una promesa de capacidad notable, Nabucodonosor resolvió que se los educase para que pudiesen ocupar puestos importantes en su reino.",multiple_choice,expert,"cautiverio, misión y cambio de nombres","27, PR39, párrafo 2 → 27, PR39, párrafo 3 → 27, PR39, párrafo 3","Entre 27, PR39, párrafo 2 y 27, PR39, párrafo 3, ¿qué secuencia respeta el orden en que aparecen estos tres detalles en el PDF? Conjunto a ordenar: Ananías, Aspenaz, Nabucodonosor.","[""Aspenaz → Nabucodonosor → Ananías"", ""Aspenaz → Ananías → Nabucodonosor"", ""Ananías → Aspenaz → Nabucodonosor"", ""Nabucodonosor → Ananías → Aspenaz""]",1,Aspenaz → Ananías → Nabucodonosor,"[""Aspenaz → Ananías → Nabucodonosor""]",exact_text,"La fuente presenta primero «Aspenaz», después «Ananías» y finalmente «Nabucodonosor».","{""Aspenaz → Nabucodonosor → Ananías"": ""Altera el orden de aparición de las tres unidades citadas."", ""Ananías → Aspenaz → Nabucodonosor"": ""Altera el orden de aparición de las tres unidades citadas."", ""Nabucodonosor → Ananías → Aspenaz"": ""Altera el orden de aparición de las tres unidades citadas.""}","Nabucodonosor ordenó “a Aspenaz, príncipe de sus eunucos, que trajese de | los hijos de Judá, Daniel, Ananías, Misael y Azarías | una promesa de capacidad notable, Nabucodonosor resolvió que se los educase para que",order_sequence,False,verified,,
PR39-0007,PR39-P027-S03-01-F01,PR39-P027-S03-01-F01-MC-SEQUENCE-04,mc-sequence-v1,PR39-44,PR39,"27, PR39, párrafo 3","“Y fueron entre ellos, de los hijos de Judá, Daniel, Ananías, Misael y Azarías. | Viendo en estos jóvenes una promesa de capacidad notable, Nabucodonosor resolvió que se los educase para que pudiesen ocupar puestos importantes en su reino. | A fin de que quedasen plenamente capacitados para su carrera, ordenó que aprendiesen el idioma de los caldeos, y que durante tres años se les concediesen las ventajas educativas que tenían los príncipes del reino.",multiple_choice,hard,"cautiverio, misión y cambio de nombres","27, PR39, párrafo 3 → 27, PR39, párrafo 3 → 27, PR39, párrafo 3","Entre 27, PR39, párrafo 3 y 27, PR39, párrafo 3, ¿qué secuencia respeta el orden en que aparecen estos tres detalles en el PDF? Conjunto a ordenar: Ananías, Nabucodonosor, ordenó.","[""Ananías → ordenó → Nabucodonosor"", ""Nabucodonosor → Ananías → ordenó"", ""Ananías → Nabucodonosor → ordenó"", ""ordenó → Nabucodonosor → Ananías""]",2,Ananías → Nabucodonosor → ordenó,"[""Ananías → Nabucodonosor → ordenó""]",exact_text,"La fuente presenta primero «Ananías», después «Nabucodonosor» y finalmente «ordenó».","{""Ananías → ordenó → Nabucodonosor"": ""Altera el orden de aparición de las tres unidades citadas."", ""Nabucodonosor → Ananías → ordenó"": ""Altera el orden de aparición de las tres unidades citadas."", ""ordenó → Nabucodonosor → Ananías"": ""Altera el orden de aparición de las tres unidades citadas.""}","los hijos de Judá, Daniel, Ananías, Misael y Azarías | una promesa de capacidad notable, Nabucodonosor resolvió que se los educase para que | plenamente capacitados para su carrera, ordenó que aprendiesen el idioma de los caldeos",order_sequence,True,verified,,
PR39-0008,PR39-P027-S03-02-F01,PR39-P027-S03-02-F01-MC-CONTEXTUAL-V1-01,mc-contextual-v1,PR39-44,PR39,"27, PR39, párrafo 3","Viendo en estos jóvenes una promesa de capacidad notable, Nabucodonosor resolvió que se los educase para que pudiesen ocupar puestos importantes en su reino.",multiple_choice,expert,"cautiverio, misión y cambio de nombres",Viendo en estos jóvenes una promesa de capacidad notable Nabucodonosor resolvió que se los,"Según 27, PR39, párrafo 3, en la escena sobre cautiverio, misión y cambio de nombres, ¿qué opción completa correctamente el detalle señalado? Marco: «Viendo en estos jóvenes una promesa de capacidad notable, [DETALLE] resolvió que se los educase para que pudiesen ocupar puestos importantes en su reino.»","[""Ananías"", ""Azarías"", ""Daniel"", ""Nabucodonosor""]",3,Nabucodonosor,"[""Nabucodonosor""]",exact_text,"«Nabucodonosor» completa el dato de 27, PR39, párrafo 3. Los demás elementos aparecen en otras unidades de la fuente, pero no responden a este anclaje exacto.","{""Ananías"": ""Es un dato de 27, PR39, párrafo 3; no completa el marco de 27, PR39, párrafo 3."", ""Azarías"": ""Es un dato de 27, PR39, párrafo 3; no completa el marco de 27, PR39, párrafo 3."", ""Daniel"": ""Es un dato de 27, PR39, párrafo 3; no completa el marco de 27, PR39, párrafo 3.""}","una promesa de capacidad notable, Nabucodonosor resolvió que se los educase para que",true_elsewhere,True,verified,,
PR39-0009,PR39-P027-S03-03-F01,PR39-P027-S03-03-F01-MC-SEQUENCE-05,mc-sequence-v1,PR39-44,PR39,"27, PR39, párrafo 3","A fin de que quedasen plenamente capacitados para su carrera, ordenó que aprendiesen el idioma de los caldeos, y que durante tres años se les concediesen las ventajas educativas que tenían los príncipes del reino. | Los nombres de Daniel y sus compañeros fueron cambiados por otros que conmemoraban divinidades caldeas. | Los padres hebreos solían dar a sus hijos nombres que tenían gran significado.",multiple_choice,hard,"cautiverio, misión y cambio de nombres","27, PR39, párrafo 3 → 27, PR39, párrafo 4 → 27, PR39, párrafo 4","Entre 27, PR39, párrafo 3 y 27, PR39, párrafo 4, ¿qué secuencia respeta el orden en que aparecen estos tres detalles en el PDF? Conjunto a ordenar: Daniel, ordenó, padres hebreos solían.","[""ordenó → Daniel → padres hebreos solían"", ""ordenó → padres hebreos solían → Daniel"", ""Daniel → ordenó → padres hebreos solían"", ""padres hebreos solían → Daniel → ordenó""]",0,ordenó → Daniel → padres hebreos solían,"[""ordenó → Daniel → padres hebreos solían""]",exact_text,"La fuente presenta primero «ordenó», después «Daniel» y finalmente «padres hebreos solían».","{""ordenó → padres hebreos solían → Daniel"": ""Altera el orden de aparición de las tres unidades citadas."", ""Daniel → ordenó → padres hebreos solían"": ""Altera el orden de aparición de las tres unidades citadas."", ""padres hebreos solían → Daniel → ordenó"": ""Altera el orden de aparición de las tres unidades citadas.""}","plenamente capacitados para su carrera, ordenó que aprendiesen el idioma de los caldeos | Los nombres de Daniel y sus compañeros fueron cambiados por otros | Los padres hebreos solían dar a sus hijos nombres que tenían",order_sequence,False,verified,,
PR39-0010,PR39-P027-S04-01-F01,PR39-P027-S04-01-F01-MC-CONTEXTUAL-V1-01,mc-contextual-v1,PR39-44,PR39,"27, PR39, párrafo 4",Los nombres de Daniel y sus compañeros fueron cambiados por otros que conmemoraban divinidades caldeas.,multiple_choice,expert,"cautiverio, misión y cambio de nombres",Los nombres de Daniel y sus compañeros fueron cambiados por otros que conmemoraban divinidades,"Según 27, PR39, párrafo 4, en la escena sobre cautiverio, misión y cambio de nombres, ¿qué opción completa correctamente el detalle señalado? Marco: «Los nombres de [DETALLE] y sus compañeros fueron cambiados por otros que conmemoraban divinidades caldeas.»","[""Misael"", ""Daniel"", ""Nabucodonosor"", ""Beltsasar""]",1,Daniel,"[""Daniel""]",exact_text,"«Daniel» completa el dato de 27, PR39, párrafo 4. Los demás elementos aparecen en otras unidades de la fuente, pero no responden a este anclaje exacto.","{""Misael"": ""Es un dato de 27, PR39, párrafo 3; no completa el marco de 27, PR39, párrafo 4."", ""Nabucodonosor"": ""Es un dato de 27, PR39, párrafo 3; no completa el marco de 27, PR39, párrafo 4."", ""Beltsasar"": ""Es un dato de 27, PR39, párrafo 4; no completa el marco de 27, PR39, párrafo 4.""}",Los nombres de Daniel y sus compañeros fueron cambiados por otros,true_elsewhere,False,verified,,
